,word,annotation_level1_Dieuwertje,annotation_level2_Dieuwertje,annotation_level3_Dieuwertje,annotation_level1_Thirza,annotation_level2_Thirza,annotation_level3_Thirza,annotation_Dieuwertje_total,annotation_Thirza_total
351,ribben,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
352,wil,O,O,O,O,O,O,O,O
353,in,O,O,O,O,O,O,O,O
354,de,O,O,O,O,O,O,O,O
355,rook,O,O,O,O,O,O,O,O
356,hangen,O,O,O,O,O,O,O,O
357,",",O,O,O,O,O,O,O,O
358,anders,O,O,O,O,O,O,O,O
359,kan,O,O,O,O,O,O,O,O
360,men,O,O,O,O,O,O,O,O
361,ook,O,O,O,O,O,O,O,O
362,de,O,O,O,O,O,O,O,O
363,Paterstukken,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
364,inzouten,O,O,O,O,O,O,O,O
365,",",O,O,O,O,O,O,O,O
366,en,O,O,O,O,O,O,O,O
367,dan,O,O,O,O,O,O,O,O
368,nog,O,O,O,O,O,O,O,O
369,de,O,O,O,O,O,O,O,O
370,twee,O,O,O,O,O,O,O,O
371,ongeschikte,O,O,O,O,O,O,O,O
372,ribben,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
373,die,O,O,O,O,O,O,O,O
374,by,O,O,O,O,O,O,O,O
375,de,O,O,O,O,O,O,O,O
376,schouders,An,Part,Lit,An,Part,Lit,An-Part-Lit,An-Part-Lit
377,zitten,O,O,O,O,O,O,O,O
378,;,O,O,O,O,O,O,O,O
379,en,O,O,O,O,O,O,O,O
380,men,O,O,O,O,O,O,O,O
381,laat,O,O,O,O,O,O,O,O
382,die,O,O,O,O,O,O,O,O
383,stukken,O,O,O,O,O,O,O,O
384,groot,O,O,O,O,O,O,O,O
385,of,O,O,O,O,O,O,O,O
386,klein,O,O,O,O,O,O,O,O
387,hakken,O,O,O,O,O,O,O,O
388,naa,O,O,O,O,O,O,O,O
389,dat,O,O,O,O,O,O,O,O
390,men,O,O,O,O,O,O,O,O
391,het,O,O,O,O,O,O,O,O
392,wil,O,O,O,O,O,O,O,O
393,hebben,O,O,O,O,O,O,O,O
394,en,O,O,O,O,O,O,O,O
395,het,O,O,O,O,O,O,O,O
396,huisgezin,O,O,O,O,O,O,O,O
397,groot,O,O,O,O,O,O,O,O
398,is,O,O,O,O,O,O,O,O
399,.,O,O,O,O,O,O,O,O
400,Het,O,O,O,O,O,O,O,O
401,niervet,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
402,is,O,O,O,O,O,O,O,O
403,goed,O,O,O,O,O,O,O,O
404,om,O,O,O,O,O,O,O,O
405,te,O,O,O,O,O,O,O,O
406,smelten,O,O,O,O,O,O,O,O
407,",",O,O,O,O,O,O,O,O
408,en,O,O,O,O,O,O,O,O
409,te,O,O,O,O,O,O,O,O
410,bewaren,O,O,O,O,O,O,O,O
411,om,O,O,O,O,O,O,O,O
412,het,O,O,O,O,O,O,O,O
413,zelve,O,O,O,O,O,O,O,O
414,van,O,O,O,O,O,O,O,O
415,tyd,O,O,O,O,O,O,O,O
416,tot,O,O,O,O,O,O,O,O
417,tyd,O,O,O,O,O,O,O,O
418,te,O,O,O,O,O,O,O,O
419,gebruiken,O,O,O,O,O,O,O,O
420,:,O,O,O,O,O,O,O,O
421,de,O,O,O,O,O,O,O,O
422,pens,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
423,met,O,O,O,O,O,O,O,O
424,de,O,O,O,O,O,O,O,O
425,darmen,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
426,laat,O,O,O,O,O,O,O,O
427,men,O,O,O,O,O,O,O,O
428,door,O,O,O,O,O,O,O,O
429,de,O,O,O,O,O,O,O,O
430,pens,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
431,-,O,O,O,O,O,O,O,O
432,vrouw,O,O,O,O,O,O,O,O
433,wel,O,O,O,O,O,O,O,O
434,ter,O,O,O,O,O,O,O,O
435,degen,O,O,O,O,O,O,O,O
436,schoon,O,O,O,O,O,O,O,O
437,maaken,O,O,O,O,O,O,O,O
438,",",O,O,O,O,O,O,O,O
439,en,O,O,O,O,O,O,O,O
440,men,O,O,O,O,O,O,O,O
441,kykt,O,O,O,O,O,O,O,O
442,het,O,O,O,O,O,O,O,O
443,naderhand,O,O,O,O,O,O,O,O
444,zelve,O,O,O,O,O,O,O,O
445,naa,O,O,O,O,O,O,O,O
446,",",O,O,O,O,O,O,O,O
447,of,O,O,O,O,O,O,O,O
448,het,O,O,O,O,O,O,O,O
449,wel,O,O,O,O,O,O,O,O
450,schoon,O,O,O,O,O,O,O,O
451,is,O,O,O,O,O,O,O,O
452,om,O,O,O,O,O,O,O,O
453,het,O,O,O,O,O,O,O,O
454,zindelyk,O,O,O,O,O,O,O,O
455,te,O,O,O,O,O,O,O,O
456,behandelen,O,O,O,O,O,O,O,O
457,;,O,O,O,O,O,O,O,O
458,Menschen,O,O,O,O,O,O,O,O
459,van,O,O,O,O,O,O,O,O
460,eenig,O,O,O,O,O,O,O,O
461,vermogen,O,O,O,O,O,O,O,O
462,gebruiken,O,O,O,O,O,O,O,O
463,geen,O,O,O,O,O,O,O,O
464,pooten,An,Prod,Lit,An,Part,Lit,An-Prod-Lit,An-Part-Lit
465,en,O,O,O,O,O,O,O,O
466,geen,O,O,O,O,O,O,O,O
467,kop,An,Prod,Lit,An,Part,Lit,An-Prod-Lit,An-Part-Lit
468,",",O,O,O,O,O,O,O,O
469,maar,O,O,O,O,O,O,O,O
470,de,O,O,O,O,O,O,O,O
471,tong,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
472,is,O,O,O,O,O,O,O,O
473,goed,O,O,O,O,O,O,O,O
474,om,O,O,O,O,O,O,O,O
475,te,O,O,O,O,O,O,O,O
476,rooken,O,O,O,O,O,O,O,O
477,",",O,O,O,O,O,O,O,O
478,En,O,O,O,O,O,O,O,O
479,hoe,O,O,O,O,O,O,O,O
480,men,O,O,O,O,O,O,O,O
481,het,O,O,O,O,O,O,O,O
482,vleesch,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
483,zouten,O,O,O,O,O,O,O,O
484,en,O,O,O,O,O,O,O,O
485,rooken,O,O,O,O,O,O,O,O
486,moet,O,O,O,O,O,O,O,O
487,",",O,O,O,O,O,O,O,O
488,zal,O,O,O,O,O,O,O,O
489,ik,O,O,O,O,O,O,O,O
490,hier,O,O,O,O,O,O,O,O
491,naa,O,O,O,O,O,O,O,O
492,zeggen,O,O,O,O,O,O,O,O
493,.,O,O,O,O,O,O,O,O
494,2,O,O,O,O,O,O,O,O
495,.,O,O,O,O,O,O,O,O
496,Afhakken,O,O,O,O,O,O,O,O
497,van,O,O,O,O,O,O,O,O
498,een,O,O,O,O,O,O,O,O
499,Varken,An,Org,Lit,An,Org,Lit,An-Org-Lit,An-Org-Lit
500,en,O,O,O,O,O,O,O,O
501,hoe,O,O,O,O,O,O,O,O
502,men,O,O,O,O,O,O,O,O
503,daar,O,O,O,O,O,O,O,O
504,mede,O,O,O,O,O,O,O,O
505,handeld,O,O,O,O,O,O,O,O
506,",",O,O,O,O,O,O,O,O
507,en,O,O,O,O,O,O,O,O
508,alles,O,O,O,O,O,O,O,O
509,best,O,O,O,O,O,O,O,O
510,gebruikt,O,O,O,O,O,O,O,O
511,.,O,O,O,O,O,O,O,O
512,Als,O,O,O,O,O,O,O,O
513,men,O,O,O,O,O,O,O,O
514,het,O,O,O,O,O,O,O,O
515,Varken,An,Org,Lit,An,Org,Lit,An-Org-Lit,An-Org-Lit
516,",",O,O,O,O,O,O,O,O
517,in,O,O,O,O,O,O,O,O
518,',O,O,O,O,O,O,O,O
519,t,O,O,O,O,O,O,O,O
520,midden,O,O,O,O,O,O,O,O
521,aan,O,O,O,O,O,O,O,O
522,weeder,O,O,O,O,O,O,O,O
523,zyden,O,O,O,An,Part,Lit,O,An-Part-Lit
524,van,O,O,O,O,O,O,O,O
525,de,O,O,O,O,O,O,O,O
526,rugge,O,O,O,O,O,O,O,O
527,-,O,O,O,O,O,O,O,O
528,graad,O,O,O,O,O,O,O,O
529,",",O,O,O,O,O,O,O,O
530,doorgesneden,O,O,O,O,O,O,O,O
531,heeft,O,O,O,O,O,O,O,O
532,",",O,O,O,O,O,O,O,O
533,zo,O,O,O,O,O,O,O,O
534,laat,O,O,O,O,O,O,O,O
535,men,O,O,O,O,O,O,O,O
536,ieder,O,O,O,O,O,O,O,O
537,helft,O,O,O,O,O,O,O,O
538,",",O,O,O,O,O,O,O,O
539,even,O,O,O,O,O,O,O,O
540,onder,O,O,O,O,O,O,O,O
541,de,O,O,O,O,O,O,O,O
542,schouwder,An,Part,Lit,An,Part,Lit,An-Part-Lit,An-Part-Lit
543,nog,O,O,O,O,O,O,O,O
544,eens,O,O,O,O,O,O,O,O
545,doorsnyden,O,O,O,O,O,O,O,O
546,in,O,O,O,O,O,O,O,O
547,de,O,O,O,O,O,O,O,O
548,breedte,O,O,O,O,O,O,O,O
549,.,O,O,O,O,O,O,O,O
550,Het,O,O,O,O,O,O,O,O
551,Hoofd,An,Prod,Lit,An,Prod,Lit,An-Prod-Lit,An-Prod-Lit
552,moet,O,O,O,O,O,O,O,O
553,eerst,O,O,O,O,O,O,O,O
554,",",O,O,O,O,O,O,O,O
555,een,O,O,O,O,O,O,O,O
556,nagt,O,O,O,O,O,O,O,O
557,over,O,O,O,O,O,O,O,O
558,",",O,O,O,O,O,O,O,O
559,in,O,O,O,O,O,O,O,O
560,het,O,O,O,O,O,O,O,O
561,water,O,O,O,O,O,O,O,O
562,leggen,O,O,O,O,O,O,O,O
563,uittetrekken,O,O,O,O,O,O,O,O
564,",",O,O,O,O,O,O,O,O
565,dat,O,O,O,O,O,O,O,O
566,het,O,O,O,O,O,O,O,O
567,bloedige,O,O,O,An,Part,Lit,O,An-Part-Lit
568,daar,O,O,O,O,O,O,O,O
569,wat,O,O,O,O,O,O,O,O
570,van,O,O,O,O,O,O,O,O
571,af,O,O,O,O,O,O,O,O
572,is,O,O,O,O,O,O,O,O
573,",",O,O,O,O,O,O,O,O
574,en,O,O,O,O,O,O,O,O
575,dan,O,O,O,O,O,O,O,O
576,moet,O,O,O,O,O,O,O,O
577,het,O,O,O,O,O,O,O,O
578,wat,O,O,O,O,O,O,O,O
579,opgehangen,O,O,O,O,O,O,O,O
580,worden,O,O,O,O,O,O,O,O
581,tot,O,O,O,O,O,O,O,O
582,dat,O,O,O,O,O,O,O,O
583,het,O,O,O,O,O,O,O,O
584,water,O,O,O,O,O,O,O,O
585,daar,O,O,O,O,O,O,O,O
586,van,O,O,O,O,O,O,O,O
587,afgeloopen,O,O,O,O,O,O,O,O
588,is,O,O,O,O,O,O,O,O
589,;,O,O,O,O,O,O,O,O
590,en,O,O,O,O,O,O,O,O
591,dan,O,O,O,O,O,O,O,O
592,moet,O,O,O,O,O,O,O,O
593,het,O,O,O,O,O,O,O,O
594,met,O,O,O,O,O,O,O,O
595,wat,O,O,O,O,O,O,O,O
596,droog,O,O,O,O,O,O,O,O
597,zout,O,O,O,O,O,O,O,O
598,worden,O,O,O,O,O,O,O,O
599,gewreeven,O,O,O,O,O,O,O,O
600,",",O,O,O,O,O,O,O,O
601,en,O,O,O,O,O,O,O,O
602,op,O,O,O,O,O,O,O,O
603,een,O,O,O,O,O,O,O,O
604,aarde,O,O,O,O,O,O,O,O
